SysConst,AvgTime,Oxygen,Chamber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1565031844,1225.4,20190805 14:04:03,14:04:03,82,1565031836,0.000259737,3.203465256,398.7885484,103.3008722,10.24007849,39.53138003,0.017743384,3.3747126,0.017691719,0.011061954,24.78424597,32.2762404,32.20225484,4.830020285,71.1036081,3.435355683,4.831478703,1.394664602,-11.45442107,0.971898417,0.06544401,14.36716733,-0.041056404,0.04608941,3.446759395,0,0,1,0,51460.55875,149.9963871,126.4472959,0.843002277,0.196004555,0: Broadleaf,1565031836,398.7885484,400.1113548,34.65551935,34.55522581,500.0044516,99.02870323,0.099970835,32.20759677,32.20225484,999.9,0,0,9998.062258,0,51.06843548,149.9963871,0.899922226,0.100077884,0,2.343419355,0,1106.232258,1390.324194,44.125,48.417,46.524,47.558,44.885,134.9848387,15.01096774,0,1565031891,2.355907692,-0.431548717,-33.65504245,1105.938077,15,1565031394,13:56:33,2,-0.054,0.33,399,36,0.17,0.04,398.8408537,-0.973777003,0.098744944,1,34.66109024,-0.254341463,0.041311003,1,32.21140732,-0.146669686,0.015966969,1,3,3,3-Mar,100,100,-0.054,0.33,2,520.734,486.424,28.0004,37.6826,29.9995,37.6519,37.66,21.2521,25.0951,57.5523,28,400,34.2449,100.264,111.487
8,1565031959,1340.4,20190805 14:05:58,14:05:58,53,1565031951,-0.000219785,3.298528491,398.8953226,734.0317609,72.76283546,39.54155156,-0.015121066,3.374978031,-0.015158805,-0.009470855,24.78321546,32.45366808,32.1705871,4.821382443,71.00837627,3.444068948,4.850229126,1.377313495,9.69250434,19.20765537,1.293504584,54.97687975,-0.041060505,0.046094014,3.447032023,0,0,1,0,51453.90946,149.9967419,126.4470164,0.842998419,0.195996839,0: Broadleaf,1565031951,398.8953226,400.1796452,34.74378065,34.82863871,500.0079355,99.02766129,0.099977777,32.27615161,32.1705871,999.9,0,0,9999.166129,0,49.60757097,149.9967419,0.900035645,0.099964558,0,2.312970968,0,979.9013226,1390.374194,44.12296774,48.48170968,46.5,47.562,44.875,135.0035484,14.9916129,0,1565032006,2.340126923,0.243135047,1.966085492,979.6977692,15,1565031394,13:56:33,2,-0.054,0.33,399,36,0.17,0.04,398.8548537,0.764445993,0.078431751,1,34.68920732,0.844802091,0.103276414,1,32.1718,-0.035910105,0.006486459,1,3,3,3-Mar,100,100,-0.054,0.33,2,520.698,486.429,28.0007,37.589,30.0002,37.5458,37.5562,21.2626,23.6793,56.8146,28,400,34.2855,100.271,111.496
9,1565032139,1520.4,20190805 14:08:58,14:08:58,84,1565032131,0.000429403,3.322556588,398.7138065,203.741887,20.1967903,39.52421986,0.02844092,3.374937475,0.028308437,0.017704625,24.78576266,32.38282257,32.39560968,4.883053458,70.67054296,3.442533493,4.871242456,1.440519965,-18.93665671,-7.806226026,-0.526481904,-2.483601981,-0.041059878,0.04609331,3.446990368,0,0,1,0,51440.29157,150.0131613,126.4607698,0.842997832,0.195995665,0: Broadleaf,1565032131,398.7138065,400.1112903,34.72770968,34.56191613,500.0079677,99.0293129,0.099985416,32.35270645,32.39560968,999.9,0,0,9998.846774,0,49.25838065,150.0131613,0.900063871,0.099936106,0,2.412858065,0,976.4210323,1390.536774,44.187,48.625,46.57825806,47.73374194,45,135.0212903,14.99032258,0,1565032186,2.403180769,-0.406444436,-16.92752156,976.7380769,15,1565032028,14:07:07,3,0.037,0.346,400,34,0.17,0.02,398.6634634,0.92061324,0.096217766,1,34.69586098,0.488243206,0.060230419,1,32.4007561,-0.093240418,0.009793453,1,3,3,3-Mar,100,100,0.037,0.346,2,520.871,484.973,28.0007,37.6675,30.0003,37.5624,37.574,21.2693,23.6956,56.441,28,400,34.1647,100.253,111.473
10,1565032290,1671.4,20190805 14:11:29,14:11:29,72,1565032282,-0.000594825,3.242852975,398.9638065,521.462584,51.69321332,39.54976213,-0.038569633,3.374887298,-0.038816207,-0.024237845,24.78420115,32.70185646,32.52359355,4.918434857,70.75591189,3.463556617,4.89507735,1.45487824,26.2318041,-15.35632038,-1.036796197,34.62288867,-0.041059103,0.04609244,3.446938829,0,0,1,0,51424.83537,150.0001613,126.4501224,0.84299991,0.195999819,0: Broadleaf,1565032282,398.9638065,400.166,34.93911613,35.16872903,500.0091935,99.03123548,0.099967613,32.43919355,32.52359355,999.9,0,0,9998.463871,0,46.71314839,150.0001613,0.899991161,0.10000889,0,2.437112903,0,1006.300806,1390.387419,44.312,48.812,46.687,47.875,45.10467742,134.9987097,14.99935484,0,1565032337,2.422407692,-0.432847865,23.62615392,1006.296346,15,1565032028,14:07:07,3,0.037,0.346,400,34,0.17,0.02,398.9209756,0.676599303,0.081555753,1,34.88547561,0.872876655,0.098741179,1,32.52618537,-0.041197213,0.005751545,1,3,3,3-Mar,100,100,0.037,0.346,2,520.649,484.929,28.0005,37.8107,30.0005,37.6697,37.6778,21.3039,21.7985,56.5882,28,400,34.7059,100.234,111.446
11,1565032411,1792.5,20190805 14:13:30,14:13:30,63,1565032403,-0.001178195,1.013251992,400.0222581,411.458885,40.78563911,39.65198966,-0.074094201,3.375572924,-0.07500981,-0.04679793,24.78422558,32.87892413,32.72500323,4.974566841,70.99489575,3.484028381,4.907435026,1.49053846,51.95840075,-43.87866345,-2.965488054,29.89847482,-0.041069697,0.046104332,3.447643046,0,0,1,0,51429.89064,150.0004194,126.4503303,0.842999845,0.19599969,0: Broadleaf,1565032403,400.0222581,400.2390323,35.14801935,35.60272258,500.0113226,99.02443871,0.100019648,32.48389032,32.72500323,999.9,0,0,10001.73,0,46.01763226,150.0004194,0.900027355,0.09997249,0,2.323035484,0,821.8459355,1390.403226,44.375,48.887,46.796,47.98577419,45.187,135.0048387,14.99967742,0,1565032458,2.332892308,-0.050112818,-15.5786668,821.6852308,15,1565032028,14:07:07,3,0.037,0.346,400,34,0.17,0.02,399.9727561,0.76415331,0.094515912,1,35.09421707,0.785882927,0.103301701,1,32.72387561,0.084227875,0.019329666,1,3,3,3-Mar,100,100,0.037,0.346,2,520.703,484.716,28.0005,37.9127,30.0005,37.7587,37.7639,21.316,21.3546,57.4269,28,400,35.0498,100.221,111.427
12,1565032520,1901.5,20190805 14:15:19,14:15:19,47,1565032512,-0.000684974,3.141110482,399.0829032,496.7230981,49.23571305,39.5575148,-0.046142724,3.374983591,-0.046496104,-0.029028091,24.78282549,32.80185782,32.46006774,4.900845231,71.23123377,3.502506109,4.917093139,1.398339123,30.20736274,10.6782414,0.72098755,66.38941718,-0.041060591,0.04609411,3.447037733,0,0,1,0,51413.014,149.9941613,126.4448602,0.842998548,0.195997097,0: Broadleaf,1565032512,399.0829032,400.2299677,35.33564516,35.59994516,500.0152903,99.02103226,0.100013719,32.51875484,32.46006774,999.9,0,0,9999.856452,0,44.63110323,149.9941613,0.900026097,0.099974139,0,2.375303226,0,847.9845161,1390.346774,44.437,48.99796774,46.875,48.062,45.25,135,14.99193548,0,1565032567,2.396665385,0.980249573,88.34707717,848.3406154,15,1565032028,14:07:07,3,0.037,0.346,400,34,0.17,0.02,399.0275122,0.869289199,0.10233282,1,35.28743415,0.758519164,0.090406587,1,32.46274878,-0.07457561,0.009828707,1,3,3,3-Mar,100,100,0.037,0.346,2,521.091,484.363,28.0005,37.9997,30.0004,37.8415,37.8464,21.3091,22.3948,58.2701,28,400,35.0476,100.208,111.409
13,1565032636,2017.5,20190805 14:17:15,14:17:15,55,1565032628,-0.000737246,2.833490195,399.2103871,481.2145485,47.69720868,39.56908867,-0.048616931,3.375130001,-0.04900938,-0.03059534,24.78379661,32.74913361,32.50406452,4.913021634,71.13704196,3.485154276,4.899211691,1.427867358,32.51255875,-9.080978365,-0.61305283,47.60232416,-0.041062853,0.04609665,3.447188113,0,0,1,0,51426.54779,149.9997742,126.4496151,0.842998703,0.195997406,0: Broadleaf,1565032628,399.2103871,400.2260323,35.16153226,35.44605484,500.012,99.0183871,0.099997468,32.45415806,32.50406452,999.9,0,0,10000.67452,0,43.72227419,149.9997742,0.900045871,0.099954071,0,2.29766129,0,686.8257097,1390.404839,44.512,49.062,46.937,48.125,45.308,135.0067742,14.99354839,0,1565032683,2.301742308,0.073049572,82.80748714,686.9588846,15,1565032028,14:07:07,3,0.037,0.346,400,34,0.17,0.02,399.1538293,0.894857143,0.103599111,1,35.10023415,0.978411847,0.114169386,1,32.5094561,-0.108627178,0.011407401,1,3,3,3-Mar,100,100,0.037,0.346,2,521.628,483.738,28.0005,38.0678,30.0003,37.9087,37.9119,21.3046,23.1989,58.4801,28,400,34.8365,100.196,111.395
14,1565032815,2196.5,20190805 14:20:14,14:20:14,78,1565032807,-0.000206975,2.931688411,399.0398065,733.6025483,72.70784065,39.54910288,-0.013434342,3.374944231,-0.013464122,-0.008412395,24.78537138,32.69409089,32.62691935,4.947162054,70.9421386,3.488436964,4.917298849,1.458725089,9.127598021,-19.54553784,-1.320803062,13.0466285,-0.041059983,0.046093428,3.446997306,0,0,1,0,51411.93806,150.0095806,126.4578578,0.842998542,0.195997084,0: Broadleaf,1565032807,399.0398065,400.1794194,35.19739032,35.27726452,500.0113871,99.01063226,0.100038516,32.51949677,32.62691935,999.9,0,0,10000.75871,0,44.67303548,150.0095806,0.900049677,0.099950255,0,2.3635,0,703.1034839,1390.499032,44.625,49.187,47.062,48.262,45.429,135.0148387,14.99354839,0,1565032863,2.347284615,0.527562399,-64.57921363,702.5098462,15,1565032699,14:18:19,4,0.109,0.335,400,35,0.43,0.03,398.9979024,0.732731707,0.075380597,1,35.13786829,0.966867596,0.10953887,1,32.63337073,-0.13895331,0.015771002,1,3,3,3-Mar,100,100,0.109,0.335,2,521.648,482.894,28.0005,38.1936,30.0005,38.0337,38.039,21.3153,23.6911,58.4807,28,400,34.7123,100.173,111.361
15,1565032942,2323.5,20190805 14:22:21,14:22:21,70,1565032934,-0.000907142,2.433111306,399.378129,455.0140085,45.09603337,39.58201088,-0.058343601,3.374464224,-0.058909893,-0.036767349,24.78488007,32.887082,32.70632903,4.969339084,71.21255329,3.508450981,4.926731059,1.460888104,40.00496459,-27.80563389,-1.880298326,35.10391245,-0.041052567,0.046085102,3.446504286,0,0,1,0,51397.28262,149.9971935,126.4482419,0.843004052,0.196008103,0: Broadleaf,1565032934,399.378129,400.2064516,35.39988387,35.74989355,500.0029355,99.00917097,0.099938923,32.5534871,32.70632903,999.9,0,0,9999.1,0,45.13831613,149.9971935,0.899858,0.100142,0,2.325674194,0,888.3280968,1390.305161,44.687,49.25,47.125,48.36280645,45.5,134.9774194,15.02,0,1565032989,2.338046154,-0.532540158,84.5940514,888.7112308,15,1565032699,14:18:19,4,0.109,0.335,400,35,0.43,0.03,399.3220244,0.906585366,0.105164329,1,35.34197317,0.904802091,0.107468382,1,32.71645854,-0.197324739,0.019798768,1,3,3,3-Mar,100,100,0.109,0.335,2,521.575,483.379,28.0006,38.2801,30.0004,38.1196,38.1242,21.3401,22.3785,58.6759,28,400,35.2016,100.161,111.345
16,1565033060,2441.5,20190805 14:24:19,14:24:19,81,1565033052,-0.00806937,17.57038042,394.2459677,445.8869169,44.19014116,39.07220487,-0.413621345,3.374690066,-0.44403049,-0.274602022,24.78155935,34.57381741,32.6772129,4.961197692,65.430269,3.234611899,4.943601713,1.726585793,355.859195,-11.47489793,-0.776034314,368.3898221,-0.041056056,0.046089019,3.446736251,0,0,1,0,51391.07125,149.9872258,126.4389497,0.842998122,0.195996245,0: Broadleaf,1565033052,394.2459677,399.9943548,32.63784839,35.75632258,500.6296129,98.99976129,0.106401013,32.61414194,32.6772129,999.9,0,0,10000.90032,0,46.86543871,149.9872258,0.900061419,0.099938568,0,2.384258065,0,818.5457419,1390.296774,44.75,49.312,47.187,48.407,45.552,134.9980645,14.98935484,0,1565033107,2.378592308,-0.288211969,-3.192000011,818.2487692,15,1565033014,14:23:33,5,0.123,0.331,400,35,0.52,0.05,395.235,-0.096229965,3.451577547,1,33.04631463,-0.127996516,1.401506331,1,32.73789024,-0.988570035,0.109150109,1,3,3,3-Mar,100,100,0.123,0.331,2,521.193,483.465,28.0009,38.3496,30.0004,38.1934,38.1973,21.3592,20.9503,59.1043,28,400,36.0964,100.153,111.329
17,1565033194,2575.5,20190805 14:26:33,14:26:33,52,1565033186,-0.000886288,2.867740079,399.2732581,466.9415328,46.27434623,39.56835639,-0.0582482,3.374280073,-0.058812663,-0.036706747,24.7793895,32.97136224,32.70314516,4.968448251,71.47573685,3.539132197,4.951515511,1.429316054,39.0852964,-11.02634703,-0.745988774,52.0923501,-0.041049722,0.046081909,3.446315142,0,0,1,0,51378.72011,149.9733548,126.4273214,0.842998555,0.195997109,0: Broadleaf,1565033186,399.2732581,400.2788065,35.71239677,36.05425161,499.9996129,99.00100323,0.099939765,32.64253226,32.70314516,999.9,0,0,9999.231935,0,46.02319032,149.9733548,0.900040419,0.099959768,0,2.405945161,0,731.1605484,1390.158387,44.875,49.383,47.25,48.5,45.61687097,134.9822581,14.99,0,1565033241,2.386026923,0.433275214,-75.53299155,731.3916923,15,1565033014,14:23:33,5,0.123,0.331,400,35,0.52,0.05,399.2129756,0.993052265,0.108725541,1,35.65327561,0.944759582,0.11153911,1,32.71466341,-0.219729617,0.021938737,1,3,3,3-Mar,100,100,0.123,0.331,2,523.538,481.679,27.9999,38.4529,30.0004,38.2934,38.2965,21.3472,23.1533,59.431,28,400,35.2259,100.125,111.306
